timestamp,sensor1 [°C],sensor2 [°C],sensor3 [°C]
2020-06-26T09:36:48.836755,25.5,25.375,25.25
2020-06-26T09:36:54.327925,25.5,25.375,25.3125
2020-06-26T09:36:56.331438,25.5,25.375,25.3125
2020-06-26T09:36:58.332256,25.5625,25.375,25.3125
2020-06-26T09:37:00.330601,25.5,25.375,25.3125
2020-06-26T09:37:02.331711,25.5625,25.375,25.375
2020-06-26T09:37:04.331565,25.5625,25.375,25.375
2020-06-26T09:37:06.330273,25.5625,25.375,25.375
2020-06-26T09:37:08.330443,25.5625,25.375,25.375
2020-06-26T09:37:10.330539,25.5625,25.375,25.375
2020-06-26T09:37:12.331580,25.5625,25.4375,25.375
2020-06-26T09:37:14.326915,25.625,25.4375,25.375
2020-06-26T09:37:16.326716,25.625,25.4375,25.375
2020-06-26T09:37:18.326985,25.625,25.4375,25.4375
2020-06-26T09:37:20.326762,25.625,25.4375,25.375
2020-06-26T09:37:22.326803,25.625,25.4375,25.4375
2020-06-26T09:37:24.326752,25.625,25.4375,25.4375
2020-06-26T09:37:26.326875,25.625,25.4375,25.4375
2020-06-26T09:37:28.326713,25.625,25.5,25.4375
2020-06-26T09:37:30.326914,25.625,25.5,25.4375
2020-06-26T09:37:32.326837,25.6875,25.5,25.4375
2020-06-26T09:37:34.326884,25.625,25.5,25.4375
2020-06-26T09:37:36.326920,25.6875,25.5,25.4375
2020-06-26T09:37:38.327000,25.6875,25.5,25.5
2020-06-26T09:37:40.326761,25.6875,25.5,25.5
2020-06-26T09:37:42.326834,25.6875,25.5,25.5
2020-06-26T09:37:44.326777,25.6875,25.5,25.5
2020-06-26T09:37:46.326945,25.6875,25.5625,25.5
2020-06-26T09:37:48.326878,25.6875,25.5,25.5
2020-06-26T09:37:50.327029,25.75,25.5,25.5
2020-06-26T09:37:52.326759,25.75,25.5625,25.5
2020-06-26T09:37:54.326872,25.6875,25.5,25.5
2020-06-26T09:37:56.326703,25.6875,25.5625,25.5
2020-06-26T09:37:58.326775,25.75,25.5625,25.5
2020-06-26T09:38:00.326733,25.75,25.5625,25.5
